sample_id,tic_id,label,n_sectors,flux_mean,flux_std,flux_median,flux_mad,flux_skew,flux_kurt,bls_period,bls_duration,bls_depth,bls_power,bls_snr,status,error
SAMPLE_006064,195199644,0,4,0.9959271,0.008349141,1.0,0.007271409,-0.005125804,-1.8050091,13.948224112056028,0.245,0.00703387245695406,0.02006225918585261,6.494937706960943,success,
SAMPLE_006003,122220263,0,4,0.99544907,0.00818155,1.0,0.005065918,-0.2535187,-1.6012194,12.461230615307654,0.27,0.0054782971480528495,0.023244092353010903,7.00468955341322,success,
SAMPLE_000026,79748331,1,7,1.0000067,0.007912636,1.0,0.0048092604,-0.9920813,1.6825886,13.027013506753375,0.3,0.023843304843207666,0.12279668814276411,4.393949098440673,success,
SAMPLE_000678,289590465,1,39,0.9974144,0.0139509635,1.0,0.0078549385,-0.5577803,0.60244083,14.840420210105052,0.3,0.004983007302035613,0.12750390769994013,10.02284949379056,success,
SAMPLE_002182,44764338,1,6,0.9634263,0.061452623,1.0,0.005967021,-0.89510405,-1.1847183,14.245622811405703,0.215,0.0657852724104171,5.989539659500093,6.66611460065225,success,
SAMPLE_000969,47720259,1,2,0.999922,0.0034813425,1.0,0.0022542179,-0.122342125,0.5994327,12.25087543771886,0.3,0.00484513391853187,0.03547121258233558,2.17237470493969,success,
SAMPLE_006870,422653398,0,1,0.9998544,0.0034287262,1.0,0.002122581,-0.21320504,0.38531137,12.098549274637318,0.3,0.008056278211414499,0.008177855946083711,2.418490330220448,success,
SAMPLE_007099,146846569,0,5,0.99986243,0.09436444,1.0,0.07234666,-0.05555577,-0.5652573,14.637318659329665,0.3,0.056170403254686016,2.3852663365562954,7.103726660579729,success,
SAMPLE_003672,141762491,1,5,0.99564743,0.014366003,1.0,0.012985766,-0.11271208,-1.4706881,14.543021510755377,0.3,0.01698181685935974,0.12458106886096859,5.52352381494135,success,
SAMPLE_000552,198385543,1,34,1.0005982,0.013577614,1.0,0.008835018,0.12981191,0.7970364,13.904702351175587,0.3,0.0034218461598278503,0.11974826148441306,6.009302229356805,success,
SAMPLE_003119,85459171,1,1,0.99969393,0.009176591,1.0,0.005940795,-0.28706244,0.43918133,2.1393196598299147,0.105,0.01663489191475091,0.08356932796266445,12.326995014029306,success,
SAMPLE_000248,364186197,1,29,0.9999995,0.008970507,1.0,0.0057059526,-1.2562588,1.809072,13.8104052026013,0.3,0.003948593054574267,0.1608953192881684,5.564738415877701,success,
SAMPLE_003228,217838717,1,2,0.99968743,0.008128266,1.0,0.005593568,-0.23102187,0.021412373,2.9082041020510254,0.3,0.0045823011774969655,0.03215764687049575,6.463725326320057,success,
SAMPLE_003719,1942969,1,4,0.99456954,0.022483084,1.0,0.016258895,-0.41336986,-1.0763327,13.005252626313156,0.3,0.0365556897427953,0.28864478575544605,6.672414893117845,success,
SAMPLE_006501,463681005,0,3,1.0157901,0.042816512,1.0,0.025237083,0.4613656,-1.1604427,14.564782391195598,0.3,0.030871776846616156,0.4102951737397577,4.567114150220239,success,
SAMPLE_004065,360221713,1,2,1.001113,0.016865317,1.0000001,0.015285671,-0.0054322947,-1.3334727,13.585542771385692,0.3,0.019691304792446712,0.08375345663667152,3.732460544746034,success,
SAMPLE_001195,317546777,1,1,0.9999672,0.006265308,1.0,0.0042465925,-0.07999502,-0.02426529,5.135067533766883,0.3,0.00529209872890873,0.012658851648345862,4.13433568413873,success,
SAMPLE_006686,71396541,0,1,1.0000701,0.002051147,1.0,0.0014184713,0.115889736,-0.14010715,4.968234117058529,0.3,0.0017819647715045979,0.0017131274620936123,2.298385727506682,success,
SAMPLE_004070,261020738,1,1,0.9998459,0.009211088,1.0,0.0060263276,-0.10937339,0.33239388,2.922711355677839,0.105,0.015575560137419165,0.08260464405887989,13.731294707476033,success,
SAMPLE_002047,464280516,1,3,1.011532,0.033397637,1.0,0.020352185,0.3214477,-0.9931061,14.18759379689845,0.3,0.04317013380999156,0.7165774442448556,4.751957264479359,success,
SAMPLE_006107,431156009,0,8,0.99936855,0.010275254,1.0,0.009788632,-0.31935522,-1.1443441,11.228114057028513,0.3,0.006612407915596463,0.20290093634122752,6.598943912642568,success,
SAMPLE_001022,219332978,1,3,1.0027977,0.0059236647,1.0,0.0022759438,0.6836394,-1.1802927,13.556528264132066,0.3,0.004264553522612903,0.007856532034803413,2.6008724673643306,success,
SAMPLE_006720,107728509,0,1,0.99999166,0.0016198228,1.0,0.001075983,0.014990544,0.11694598,2.6833416708354174,0.215,0.0004211918896314556,0.00010998961689261608,6.7319072535254865,success,
SAMPLE_006132,138968089,0,6,0.9995806,0.05444977,1.0,0.025557995,-1.1085985,0.17964077,13.643571785892947,0.3,0.03951339948178336,0.8540358800180278,6.79011247202123,success,
